sort-ID,pez_ID,ID ,shelter-partner ,county,sex-status,sex,altered,female,male,age ,age-formulas,age-months,age-stages-formula,agestages,juvenile,adult,breed ,purebred,large-mix,med-mix,sm-mix,size-formula,size,wt,wt-kg,intake-date,sp-intake-date,long-fur,short-fur,furlength,ticks ,EDTA,4DX-run,lymeseropos,anaseropos,ehrseropos,rickifa,4DX-hw,sum-tbd,tbdpos,multtbd,lyme-CS,lyme-lame,lyme-abnormal-pcv ,lyme-abnormal-urine ,anaplasma-CS,anaplasma-abnormal-pcv ,anaplasma-abnormal-urine ,,ehrlichia-CS,ehlrichia-abnormal-pcv ,ehlrichia-abnormal-plt-count,E.canis_Doyle,E.ewingii_Doyle,E.chaff_Doyle,A.platys_daSilva,A.phag_Draz,B.burg_Barb,Rick_Stenos,R.rick_Kato,Sum_TBD-sero,One-TBD-sero,Multi-TBD-sero,PCR-TBD,SERO+PCR,TBD+HW,ACUTE-only
201/368,H201/H368,A46113717,Gallia,Gallia,Male,Male,0,0,1,3 yr,3,36,Adult,Adult,0,1,coonhound mix,0,1,0,0,Large,Large,76,34.55,11/17/2020,11/16/2020,NA,NA,NA,Y,Y,Y,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,NA,2,1,1,0,0,0,0
183,H183,A46025384,Ross,Ross,Male,Male,0,0,1,3 yr ,3,36,Adult,Adult,0,1,american pit bull,0,1,0,0,Large,Large,64,29.09,11/3/2020,9/9/2020,0,1,short,N,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,NA,0,0,NA,0,NA,0,NA,1,1,0,0,0,0,0
430,H430,A46409894,Lawrence,Lawrence,Male,Male,0,0,1,3 yr ,3,36,Adult,Adult,0,1,mixed breed large,0,1,0,0,Large,Large,51.5,23.41,1/12/2021,1/7/2021,0,1,short,N,Y,Y,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,NA,2,1,1,0,0,0,0
25/33,H25/H33,A44949462,Jackson,Jackson,Female,Female,0,1,0,3 yr  ,3,36,Adult,Adult,0,1,Mastiff mix,0,1,0,0,Large,Large,52,23.64,6/26/2020,6/24/2020,0,1,short,Y,Y,Y,1,0,1,1,0,3,1,1,1,0,0,1,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,NA,3,1,1,0,0,0,0
4,H4,A43894661,Gallia,Gallia,Female,Female,0,1,0,3.6 yr,3.6,43,Adult,Adult,0,1,mixed breed large,0,1,0,0,Large,Large,55,25,2/25/2020,2/19/2020,NA,NA,NA,Y,Y,Y,1,0,1,1,0,3,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0
44,H44,A44892105,Gallia,Gallia,Female,Female,0,1,0,4 m,0.3,4,Puppy,Puppy,0,1,chihuahua mix,0,0,0,1,Small,Small,7.4,3.36,7/20/2020,6/18/2020,NA,NA,NA,N,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,H68,A45078975,Scioto,Scioto,Female,Female,0,1,0,4 m,0.3,4,Puppy,Puppy,0,1,mixed breed large,0,0,1,0,Medium,Medium,32.5,14.77,7/15/2020,7/8/2020,0,1,short,N,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0
32,H32,A45062733,Lawrence,Lawrence,Female,Female,0,1,0,4 y,4,48,Adult,Adult,0,1,shepherd mix,0,0,1,0,Medium,Medium,38,17.27,7/13/2020,7/8/2020,NA,NA,NA,Y,Y,Y,1,0,1,1,0,3,1,1,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,H36,A45020367,Scioto,Scioto,Male,Male,0,0,1,4 y,4,48,Adult,Adult,0,1,bulldog mix,0,1,0,0,Large,Large,65,29.55,7/7/2020,6/29/2020,NA,NA,NA,N,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
89,H89,A45280649,Gallia,Gallia,Spayed Female,Female,1,1,0,4 y,4,48,Adult,Adult,0,1,american pit bull mix,0,1,0,0,Large,Large,57,25.91,8/12/2020,8/12/2020,0,1,short,N,Y,Y,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
